Language	Concept	Value	Forms
Spiti	One	tʃik	tʃik
Spiti	Two	nɨ	nɨ
Spiti	Three	sum	sum
Spiti	Four	dʒi	dʒi
Spiti	Five	ŋã	ŋã
Spiti	Six	ʈʰruk	ʈʰruk
Spiti	Seven	dʉn	dʉn
Spiti	Eight	ɡjɛ	ɡjɛ
Spiti	Nine	ɡu	ɡu
Spiti	Ten	tʃu	tʃu
Spiti	Eleven	tʃʋiʃik	tʃʋiʃik
Spiti	Twelve	tʃʋinɨ	tʃʋinɨ
Spiti	Thirteen	tʃuksum	tʃuksum
Spiti	Fourteen	tʃudʒi	tʃudʒi
Spiti	Fifteen	tʃʋeŋã	tʃʋeŋã
Spiti	Sixteen	tʃʋiruk	tʃʋiruk
Spiti	Seventeen	tʃupdʉn	tʃupdʉn
Spiti	Eighteen	tʃupɡjɛ	tʃupɡjɛ
Spiti	Nineteen	tʃurɡu	tʃurɡu
Spiti	Twenty	nɨʃu	nɨʃu
Spiti	Twenty One	nɨʃusəʃik	nɨʃusəʃik
Spiti	Twenty two	nɨʃusɛnɨ	nɨʃusɛnɨ
Spiti	Twenty three	nɨʃusəksum	nɨʃusəksum
Spiti	Twenty four	nɨʃusɔdʒi	nɨʃusɔdʒi
Spiti	Twenty five	nɨʃusɛŋã	nɨʃusɛŋã
Spiti	Twenty six	nɨʃusɛruk	nɨʃusɛruk
Spiti	Twenty seven	nɨʃusəbdʉn	nɨʃusəbdʉn
Spiti	Twenty eight	nɨʃusəbɡjɛ	nɨʃusəbɡjɛ
Spiti	Twenty nine	nɨʃusərɡu	nɨʃusərɡu
Spiti	Thirty	sumdzu	sumdzu
Spiti	Thirty one	sumdzusɔʃik	sumdzusɔʃik
Spiti	Thirty two	sumdzusɛnɨ	sumdzusɛnɨ
Spiti	Thirty three	sumdzusɔksum	sumdzusɔksum
Spiti	Thirty four	sumdzusɔdʒi	sumdzusɔdʒi
Spiti	Thirty five	sumdzusɛŋã	sumdzusɛŋã
Spiti	Thirty six	sumdzusɛruk	sumdzusɛruk
Spiti	Thirty seven	sumdzusɔbdʉn	sumdzusɔbdʉn
Spiti	Thirty eight	sumdzusɔbɡjɛ	sumdzusɔbɡjɛ
Spiti	Thirty nine	sumdzusɔrɡu	sumdzusɔrɡu
Spiti	Forty	dʒiptʃu	dʒiptʃu
Spiti	Forty one	dʒiptʃusjəʃik	dʒiptʃusjəʃik
Spiti	Forty two	dʒiptʃusjɛnɨ	dʒiptʃusjɛnɨ
